neuron_id,morph_status,ephys_status,normalized_soma_depth,layer,m_type,e_type,m_cluster,e_cluster,me_cluster,mol_id,pred_mol_id
20071025A,complete,available,0.707956894,L5,Large Basket,Fast spiking,20,9,16,,VIP+
20071103A,complete,available,0.676382414,L5,Large Basket,Fast spiking,11,10,5,,PV+
20071104C,complete,available,0.610491142,L5,Large Basket,Fast spiking,11,10,5,,PV+
20071104D,complete,available,0.611709323,L5,Large Basket,Irregular spiking,11,1,6,,PV+
20071109B,complete,available,0.62444703,L5,Large Basket,Adapt./irreg. spiking,13,2,13,,SST+
20071109C,complete,available,0.676211206,L5,Large Basket,Irregular spiking,20,2,22,,VIP+
20071114B,complete,available,0.669557105,L5,Translaminar,Fast spiking,20,12,15,,VIP+
20071115A,complete,available,0.614131905,L5,Large Basket,Fast spiking,11,10,5,,PV+
20071115B,complete,available,0.594992631,L5,Martinotti,Irregular spiking,15,6,16,,SST+
20071116A,complete,available,0.636472328,L5,Large Basket,Adapting,15,2,13,,SST+
20080813A,complete,available,0.693891779,L5,Large Basket,Adapting,15,5,22,,VIP+
20080816A,complete,available,0.691029633,L5,Large Basket,Adapting,15,7,16,,SST+
20080816D,complete,available,0.65101267,L5,Large Basket,Fast spiking,11,7,5,,PV+
20080822B,complete,available,0.527571675,L5,Small Basket,Fast spiking,12,10,5,,PV+
20080826A,complete,available,0.662541072,L5,Large Basket,Fast spiking,11,10,5,,PV+
20080826B,complete,available,0.634427047,L5,Large Basket,Adapting,15,2,13,,SST+
20080826D,complete,available,0.636483531,L5,Large Basket,Adapting,5,7,20,,PV-/SST-/VIP-
20080827B,complete,available,0.702060875,L5,Large Basket,Regular spiking,11,2,22,,VIP+
20080827C,complete,available,0.563863833,L5,Martinotti,Adapting,15,7,14,,SST+
20080902A,complete,available,0.650161876,L5,Small Basket,Irregular spiking,11,10,5,,PV+
20080902B,complete,available,0.609729705,L5,Martinotti,Irregular spiking,15,7,14,,SST+
20080903A,complete,available,0.59092835,L5,Large Basket,Fast spiking,11,10,5,,PV+
20080903D,complete,available,0.622303996,L5,Large Basket,Adapting,12,5,13,,VIP+
20080909B,complete,available,0.624622797,L5,Martinotti,Adapting,20,2,13,,SST+
20080911A,complete,available,0.765440909,L6,Large Basket,Fast spiking,17,8,7,,PV+
20080911B,complete,available,0.707550839,L5,Chandelier,Fast spiking,16,10,7,,PV+
20080911C,complete,available,0.554807263,L5,Martinotti,Adapt./irreg. spiking,15,2,13,,SST+
20080913A,complete,available,0.704542852,L5,Large Basket,Adapting,13,6,16,,SST+
20080913C,complete,available,0.656759857,L5,Large Basket,Fast spiking,11,10,5,,PV+
20080913D,complete,available,0.702769942,L5,Large Basket,Fast spiking,20,7,14,,PV+
20080926B,complete,available,0.582551492,L5,Large Basket,Fast spiking,11,10,5,,PV+
20080926E,complete,available,0.683532417,L5,Large Basket,Fast spiking,5,10,5,,PV+
20080928B,complete,available,0.663978072,L5,Chandelier,Fast spiking,16,8,7,,PV+
20080929A,complete,available,0.623368285,L5,Large Basket,Fast spiking,12,10,5,,VIP+
20080929C,complete,available,0.63903457,L5,Large Basket,Fast spiking,15,10,5,,VIP+
20081001A,complete,available,0.693537209,L5,Large Basket,Regular spiking,11,2,23,,VIP+
20081001B,complete,available,0.640881798,L5,Large Basket,Fast spiking,11,10,5,,PV+
20081001C,complete,available,0.593282637,L5,Large Basket,Irregular spiking,12,2,22,,VIP+
20081006C,complete,available,0.588771442,L5,Martinotti,Adapting,15,7,14,,SST+
20081010B,complete,available,0.696398859,L5,Large Basket,Adapting,13,4,13,,SST+
20110124A,complete,available,0.832605923,L6,Translaminar,Fast spiking,14,9,25,,PV+
20110125A,complete,available,0.831057266,L6,Large Basket,Fast spiking,17,9,25,,PV+
20110125B,complete,available,0.835855111,L6,Martinotti,Fast spiking,19,9,25,,SST+
20110125C,complete,available,0.82564203,L6,Martinotti,Fast spiking,19,9,25,,SST+
20110131A,complete,available,0.763046183,L6,Translaminar,Fast spiking,20,9,16,,PV+
20110207A,complete,available,0.800480376,L6,Large Basket,Fast spiking,17,9,25,,PV+
20110207B,complete,available,0.842806794,L6,Large Basket,Fast spiking,17,9,25,,VIP+
20110209B,complete,available,0.757906759,L6,Martinotti,Fast spiking,20,6,16,,SST+
20110211A,complete,available,0.853690297,L6,Large Basket,Fast spiking,18,13,25,,VIP+
20110301A,complete,available,0.71967999,L6,Large Basket,Fast spiking,19,11,25,,SST+
20110303A,complete,available,0.82612217,L6,Large Basket,Fast spiking,18,9,25,,SST+
20110303B,complete,available,0.837040164,L6,Large Basket,Irregular spiking,20,1,13,,PV+
20110303C,complete,available,0.831240457,L6,Martinotti,Fast spiking,19,9,25,,SST+
20110309B,complete,available,0.731061565,L6,Translaminar,Fast spiking,20,9,16,,VIP+
20110310C,complete,available,0.775596118,L6,Large Basket,Fast spiking,18,10,24,,PV+
20110425A,complete,available,0.745277414,L6,Large Basket,Fast spiking,19,11,25,,VIP+
20110425B,complete,available,0.813533938,L6,Large Basket,Fast spiking,17,10,25,,PV+
20110426A,complete,available,0.868861045,L6,Martinotti,Fast spiking,15,11,16,,SST+
20110428A,complete,available,0.855774045,L6,Large Basket,Fast spiking,18,9,25,,PV+
20110429C,complete,available,0.840720946,L6,Large Basket,Fast spiking,17,10,25,,PV+
20110429D,complete,available,0.809093765,L6,Large Basket,Fast spiking,19,11,25,,SST+
20110516A,complete,available,0.757066788,L6,Large Basket,Fast spiking,11,2,8,,PV+
20110517A,complete,available,0.926786192,L6,Large Basket,Fast spiking,18,10,5,,PV+
20110517C,complete,available,0.894396393,L6,Large Basket,Fast spiking,18,10,8,,PV+
20110523A,complete,available,0.853157998,L6,Large Basket,Fast spiking,20,10,15,,PV+
20110525A,complete,available,0.776018089,L6,Large Basket,Fast spiking,20,9,16,,VIP+
20110526A,complete,available,0.902504306,L6,Large Basket,Fast spiking,18,10,5,,PV+
20110530A,complete,available,0.717302207,L6,Small Basket,Fast spiking,20,10,15,,VIP+
20110606A,complete,available,0.820276278,L6,Large Basket,Fast spiking,11,10,25,,PV+
20110613B,complete,available,0.81455601,L6,Large Basket,Fast spiking,17,10,25,,VIP+
20110614B,complete,available,0.829776061,L6,Large Basket,Fast spiking,11,9,25,,PV+
20110705A,complete,available,0.896875331,L6,Large Basket,Fast spiking,18,11,8,,VIP+
20110705B,complete,available,0.875483839,L6,Large Basket,Fast spiking,18,10,8,,PV+
20110706A,complete,available,0.892459285,L6,Large Basket,Fast spiking,18,10,8,,PV+
20110707A,complete,available,0.789754621,L6,Large Basket,Adapting,20,6,25,,VIP+
20110822C,complete,available,0.820771721,L6,Large Basket,Adapting,18,10,24,,PV+
20110830A,complete,available,0.76129058,L6,Chandelier,Fast spiking,16,7,7,,PV+
20110913A,complete,available,0.778461381,L6,Large Basket,Regular spiking,20,7,19,,VIP+
20110920A,complete,available,0.896520208,L6,Large Basket,Fast spiking,14,10,7,,PV+
20110920B,complete,available,0.798816857,L6,Large Basket,Adapting,18,7,25,,SST+
20110923B,complete,available,0.715868479,L6,Large Basket,Fast spiking,20,10,5,,PV+
20110928A,complete,available,0.844308083,L6,Large Basket,Fast spiking,20,10,5,,PV+
20111003A,complete,available,0.893558144,L6,Large Basket,Regular spiking,18,2,23,,PV+
20111005A,complete,available,0.777564478,L6,Large Basket,Irregular spiking,17,2,23,,VIP+
20111005B,complete,available,0.857180175,L6,Large Basket,Fast spiking,18,10,24,,PV+
20111025B,complete,available,0.890977311,L6,Large Basket,Fast spiking,18,2,23,,PV+
20111026B,complete,available,0.86811963,L6,Martinotti,Fast spiking,20,10,15,,PV+
20111102B,complete,available,0.873875744,L6,Large Basket,Fast spiking,18,10,24,,PV+
20111122A,complete,available,0.863244813,L6,Large Basket,Fast spiking,20,10,24,,PV+
20111207C,complete,available,0.841203632,L6,Large Basket,Fast spiking,18,10,24,,PV+
20111209A,complete,available,0.814075902,L6,Large Basket,Adapt./irreg. spiking,17,2,23,,VIP+
20111212A,complete,available,0.830556031,L6,Large Basket,Fast spiking,17,7,25,,VIP+
20111213A,complete,available,0.909449786,L6,Large Basket,Regular spiking,18,7,25,,SST+
20111213B,complete,available,0.789817544,L6,Martinotti,Adapting,20,2,13,,SST+
20111214B,complete,available,0.786907865,L6,Large Basket,Regular spiking,17,2,23,,VIP+
20111215A,complete,available,0.791048404,L6,Large Basket,Fast spiking,18,10,24,,PV+
20111215B,complete,available,0.896159825,L6,Large Basket,Regular spiking,11,7,19,,VIP+
20111219B,complete,available,0.874802954,L6,Neurogliaform,Regular spiking,5,6,20,,PV-/SST-/VIP-
20111219C,complete,available,0.819361985,L6,Large Basket,Fast spiking,11,10,5,,PV+
20120111B,complete,available,0.896219762,L6,Large Basket,Fast spiking,14,10,7,,PV+
20120116A,complete,available,0.747243081,L6,Large Basket,Fast spiking,11,10,24,,PV+
20120118B,complete,available,0.837313794,L6,Small Basket,Regular spiking,5,7,20,PV-/SST-,PV-/SST-/VIP-
20120119B,complete,available,0.820711066,L6,Large Basket,Fast spiking,13,9,8,,VIP+
20120120B,complete,available,0.76516673,L6,Large Basket,Adapting,17,7,8,PV-/SST-,VIP+
20120123A,complete,available,0.8104693,L6,Large Basket,Fast spiking,18,9,25,PV-/SST-,PV+
20120201A,complete,available,0.768231643,L6,Large Basket,Adapting,19,7,25,PV-,VIP+
20120215A,complete,available,0.902486143,L6,Large Basket,Regular spiking,18,1,6,PV+,PV+
20120215B,complete,available,0.902941456,L6,Small Basket,Fast spiking,5,2,6,PV+,PV+
20150311C,complete,available,0.800781748,L6,Translaminar,Adapting,19,7,14,,SST+
